date,symbol,close.x,symbol2,ratio.x,close.y,ccl
2020-08-14,BMA.BA,259.649994,BMA,10,20.24,128.28557015810276
2020-08-18,BMA.BA,245.149994,BMA,10,18.9,129.70899153439152
2020-08-19,BMA.BA,247.899994,BMA,10,18.629999,133.0649529288756
2020-08-20,BMA.BA,248.899994,BMA,10,18.440001,134.97829745237
2020-08-21,BMA.BA,245.5,BMA,10,18.219999,134.74204910768654
2020-08-24,BMA.BA,243.75,BMA,10,18.360001,132.761430677482
2020-08-25,BMA.BA,246.949997,BMA,10,18.58,132.91173143164693
2020-08-26,BMA.BA,236.899994,BMA,10,18.33,129.24167703218765
2020-08-27,BMA.BA,221.800003,BMA,10,17.879999,124.04922561796563
2020-08-28,BMA.BA,238.949997,BMA,10,19.190001,124.51797006159615
2020-08-31,BMA.BA,242.449997,BMA,10,18.950001,127.94194417192905
2020-09-01,BMA.BA,241.5,BMA,10,18.809999,128.38916153052426
2020-09-02,BMA.BA,234.850006,BMA,10,18.860001,124.52279615467678
2020-09-03,BMA.BA,238.300003,BMA,10,19.370001,123.02529204825547
2020-09-04,BMA.BA,235.75,BMA,10,18.93,124.53777073428421
2020-09-08,BMA.BA,235.649994,BMA,10,18.870001,124.88075331845504
2020-09-09,BMA.BA,238.300003,BMA,10,18.74,127.16115421558166
2020-09-10,BMA.BA,243.5,BMA,10,18.73,130.00533902829685
2020-09-11,BMA.BA,233.350006,BMA,10,18,129.63889222222224
2020-09-14,BMA.BA,226.149994,BMA,10,17.450001,129.5988430029316
2020-09-15,BMA.BA,224.75,BMA,10,17.26,130.2143684820394
2020-09-16,BMA.BA,205.949997,BMA,10,16.139999,127.60223653049792
2020-09-17,BMA.BA,199.350006,BMA,10,15.38,129.61638881664499
2020-09-18,BMA.BA,209.800003,BMA,10,15.32,136.94517167101827
2020-09-21,BMA.BA,205.100006,BMA,10,14.72,139.33424320652176
2020-09-22,BMA.BA,205.300003,BMA,10,14.1,145.6028390070922
2020-09-23,BMA.BA,201.199997,BMA,10,13.36,150.5988001497006
2020-09-24,BMA.BA,208.149994,BMA,10,14.64,142.1789576502732
2020-09-25,BMA.BA,211.75,BMA,10,14.52,145.83333333333334
2020-09-28,BMA.BA,210.149994,BMA,10,14.33,146.65037962316816
2020-09-29,BMA.BA,209.949997,BMA,10,14.1,148.9007070921986
2020-09-30,BMA.BA,207.600006,BMA,10,14.3,145.1748293706294
2020-10-01,BMA.BA,214.850006,BMA,10,14.62,146.9562284541724
2020-10-02,BMA.BA,214.149994,BMA,10,14.25,150.28069754385962
2020-10-05,BMA.BA,211.649994,BMA,10,14.05,150.64056512455514
2020-10-06,BMA.BA,208.800003,BMA,10,13.74,151.96506768558953
2020-10-07,BMA.BA,210.850006,BMA,10,13.88,151.90922622478388
2020-10-08,BMA.BA,216.949997,BMA,10,14.27,152.03223335669236
2020-10-09,BMA.BA,218,BMA,10,14.1,154.60992907801418
2020-10-13,BMA.BA,213.850006,BMA,10,13.41,159.47054884414618
2020-10-14,BMA.BA,215.100006,BMA,10,13.26,162.21719909502264
2020-10-15,BMA.BA,222.25,BMA,10,13.24,167.86253776435046
2020-10-16,BMA.BA,230,BMA,10,13.54,169.86706056129987
2020-10-19,BMA.BA,231.449997,BMA,10,13.83,167.35357700650758
2020-10-20,BMA.BA,225.100006,BMA,10,13.18,170.78907890743554
2020-10-21,BMA.BA,226.5,BMA,10,12.65,179.05138339920947
2020-10-22,BMA.BA,234.850006,BMA,10,12.9,182.05426821705427
2020-10-23,BMA.BA,232.5,BMA,10,13.05,178.16091954022988
2020-10-26,BMA.BA,216.649994,BMA,10,12.95,167.29729266409265
2020-10-27,BMA.BA,204.850006,BMA,10,12.22,167.63502945990183
2020-10-28,BMA.BA,186.149994,BMA,10,11.74,158.56047189097103
2020-10-29,BMA.BA,192.199997,BMA,10,12.04,159.63454900332226
2020-10-30,BMA.BA,186.100006,BMA,10,11.93,155.99329924559933
2020-11-02,BMA.BA,204,BMA,10,13.14,155.2511415525114
2020-11-03,BMA.BA,205.050003,BMA,10,13.18,155.5766335356601
2020-11-04,BMA.BA,199.350006,BMA,10,12.84,155.2570140186916
2020-11-05,BMA.BA,211.899994,BMA,10,14,151.35713857142855
2020-11-06,BMA.BA,214.050003,BMA,10,14.03,152.5659322879544
2020-11-09,BMA.BA,228.149994,BMA,10,15.02,151.89746604527295
2020-11-10,BMA.BA,245.350006,BMA,10,16.370001,149.87781979976668
2020-11-11,BMA.BA,237.100006,BMA,10,15.69,151.11536392606757
2020-11-12,BMA.BA,224.399994,BMA,10,14.64,153.2786844262295
2020-11-13,BMA.BA,227.199997,BMA,10,15.28,148.691097513089
2020-11-16,BMA.BA,227.350006,BMA,10,15.34,148.2073050847458
2020-11-17,BMA.BA,233.800003,BMA,10,15.72,148.7277372773537
2020-11-18,BMA.BA,226.350006,BMA,10,15.02,150.69907190412786
2020-11-19,BMA.BA,228.300003,BMA,10,15.11,151.0919940436797
2020-11-20,BMA.BA,235,BMA,10,14.95,157.19063545150502
2020-11-24,BMA.BA,252.300003,BMA,10,16.49,153.00182110369923
2020-11-25,BMA.BA,253.050003,BMA,10,16.469999,153.64299839969632
2020-11-27,BMA.BA,258.899994,BMA,10,16.959999,152.6533073498412
2020-11-30,BMA.BA,247.25,BMA,10,15.97,154.82154038822793
2020-12-01,BMA.BA,245.600006,BMA,10,16.299999,150.6748595506049
2020-12-02,BMA.BA,248.600006,BMA,10,16.92,146.92671749408984
2020-12-03,BMA.BA,244.25,BMA,10,16.690001,146.34510806799832
2020-12-04,BMA.BA,243.699997,BMA,10,16.85,144.6290783382789
2020-12-09,BMA.BA,232.100006,BMA,10,16.200001,143.2715997980494
2020-12-10,BMA.BA,236.149994,BMA,10,16.98,139.07537926972907
2020-12-11,BMA.BA,235.800003,BMA,10,16.459999,143.25638962675515
2020-12-14,BMA.BA,231.600006,BMA,10,16.15,143.40557647058827
2020-12-15,BMA.BA,233.899994,BMA,10,16.620001,140.73404327713337
2020-12-16,BMA.BA,235.100006,BMA,10,16.51,142.39854996971533
2020-12-17,BMA.BA,233.949997,BMA,10,16.33,143.2639295774648
2020-12-18,BMA.BA,227.75,BMA,10,15.93,142.96924042686754
2020-12-21,BMA.BA,216.449997,BMA,10,15.45,140.0970854368932
2020-12-22,BMA.BA,220.25,BMA,10,15.31,143.86022207707381
2020-12-23,BMA.BA,226.149994,BMA,10,15.91,142.14330232558137
2020-12-28,BMA.BA,223.399994,BMA,10,15.5,144.12902838709675
2020-12-29,BMA.BA,230.25,BMA,10,16.26,141.6051660516605
2020-12-30,BMA.BA,227.300003,BMA,10,15.84,143.49747664141415
2021-01-04,BMA.BA,218.600006,BMA,10,14.62,149.52120793433656
2021-01-05,BMA.BA,220.850006,BMA,10,14.55,151.78694570446737
2021-01-06,BMA.BA,218.149994,BMA,10,14.78,147.59810148849795
2021-01-07,BMA.BA,222.449997,BMA,10,14.84,149.89891981132075
2021-01-08,BMA.BA,221.550003,BMA,10,14.68,150.9196205722071
2021-01-11,BMA.BA,214.199997,BMA,10,14.16,151.2711843220339
2021-01-12,BMA.BA,217.449997,BMA,10,14.36,151.42757451253482
2021-01-13,BMA.BA,213.350006,BMA,10,14.14,150.88402121640738
2021-01-14,BMA.BA,217.5,BMA,10,14.49,150.10351966873705
2021-01-15,BMA.BA,213.699997,BMA,10,14,152.642855
2021-01-19,BMA.BA,211.399994,BMA,10,13.95,151.54121433691756
2021-01-20,BMA.BA,212.899994,BMA,10,14.27,149.19410932025227
2021-01-21,BMA.BA,207.25,BMA,10,13.89,149.2080633549316
2021-01-22,BMA.BA,204,BMA,10,13.36,152.69461077844312
2021-01-25,BMA.BA,200.25,BMA,10,13.38,149.66367713004485
2021-01-26,BMA.BA,213.699997,BMA,10,13.9,153.7410050359712
2021-01-27,BMA.BA,212.800003,BMA,10,13.76,154.65116497093024
2021-01-28,BMA.BA,211,BMA,10,13.74,153.56622998544395
2021-01-29,BMA.BA,203.699997,BMA,10,13.32,152.92792567567565
2021-02-01,BMA.BA,207.600006,BMA,10,13.63,152.31108290535585
2021-02-02,BMA.BA,205.649994,BMA,10,13.41,153.35570022371363
2021-02-03,BMA.BA,207.5,BMA,10,13.52,153.47633136094674
2021-02-04,BMA.BA,213.050003,BMA,10,13.79,154.4960137781001
2021-02-05,BMA.BA,221.600006,BMA,10,14.3,154.96503916083918
2021-02-08,BMA.BA,229,BMA,10,14.56,157.28021978021977
2021-02-09,BMA.BA,227.75,BMA,10,14.71,154.82664853840924
2021-02-10,BMA.BA,226.649994,BMA,10,14.53,155.98760770818993
2021-02-11,BMA.BA,226.699997,BMA,10,14.9,152.14764899328858
2020-08-14,EDN.BA,25,EDN,20,3.95,126.58227848101265
2020-08-18,EDN.BA,23.85,EDN,20,3.74,127.54010695187165
2020-08-19,EDN.BA,24.6,EDN,20,3.75,131.2
2020-08-20,EDN.BA,24.5,EDN,20,3.71,132.0754716981132
2020-08-21,EDN.BA,24.049999,EDN,20,3.71,129.64959029649594
2020-08-24,EDN.BA,23,EDN,20,3.5,131.42857142857142
2020-08-25,EDN.BA,22.299999,EDN,20,3.4,131.17646470588235
2020-08-26,EDN.BA,22.200001,EDN,20,3.45,128.6956579710145
2020-08-27,EDN.BA,21.549999,EDN,20,3.5,123.14285142857143
2020-08-28,EDN.BA,22.9,EDN,20,3.65,125.47945205479452
2020-08-31,EDN.BA,22.549999,EDN,20,3.26,138.34355214723928
2020-09-01,EDN.BA,22.1,EDN,20,3.44,128.48837209302326
2020-09-02,EDN.BA,21.85,EDN,20,3.48,125.57471264367817
2020-09-03,EDN.BA,21.65,EDN,20,3.42,126.60818713450293
2020-09-04,EDN.BA,21.549999,EDN,20,3.48,123.85056896551724
2020-09-08,EDN.BA,21.5,EDN,20,3.48,123.5632183908046
2020-09-09,EDN.BA,21.799999,EDN,20,3.49,124.92836103151862
2020-09-10,EDN.BA,22.299999,EDN,20,3.52,126.70453977272727
2020-09-11,EDN.BA,21.9,EDN,20,3.45,126.95652173913042
2020-09-14,EDN.BA,21.25,EDN,20,3.38,125.7396449704142
2020-09-15,EDN.BA,21.200001,EDN,20,3.43,123.61516618075801
2020-09-16,EDN.BA,19.85,EDN,20,3.11,127.65273311897107
2020-09-17,EDN.BA,18.65,EDN,20,3.09,120.71197411003237
2020-09-18,EDN.BA,21,EDN,20,3.18,132.0754716981132
2020-09-21,EDN.BA,20.6,EDN,20,3.08,133.76623376623377
2020-09-22,EDN.BA,21.450001,EDN,20,2.98,143.95973825503356
2020-09-23,EDN.BA,22,EDN,20,2.93,150.1706484641638
2020-09-24,EDN.BA,22.450001,EDN,20,3.15,142.5396888888889
2020-09-25,EDN.BA,22.5,EDN,20,3.14,143.31210191082803
2020-09-28,EDN.BA,22.25,EDN,20,3.1,143.54838709677418
2020-09-29,EDN.BA,21.799999,EDN,20,3.09,141.10031715210357
2020-09-30,EDN.BA,22.75,EDN,20,3.11,146.30225080385853
2020-10-01,EDN.BA,23.299999,EDN,20,3.17,147.00314826498422
2020-10-02,EDN.BA,23.35,EDN,20,3.12,149.67948717948718
2020-10-05,EDN.BA,23.1,EDN,20,3.06,150.98039215686273
2020-10-06,EDN.BA,21.950001,EDN,20,2.9,151.3793172413793
2020-10-07,EDN.BA,21.5,EDN,20,2.88,149.30555555555557
2020-10-08,EDN.BA,21.85,EDN,20,2.92,149.65753424657535
2020-10-09,EDN.BA,22.299999,EDN,20,2.95,151.18643389830507
2020-10-13,EDN.BA,22.75,EDN,20,2.99,152.17391304347825
2020-10-14,EDN.BA,23.85,EDN,20,3.03,157.42574257425744
2020-10-15,EDN.BA,24.75,EDN,20,3.1,159.67741935483872
2020-10-16,EDN.BA,26.4,EDN,20,3.19,165.51724137931035
2020-10-19,EDN.BA,29.049999,EDN,20,3.65,159.1780767123288
2020-10-20,EDN.BA,29.5,EDN,20,3.53,167.1388101983003
2020-10-21,EDN.BA,28.950001,EDN,20,3.15,183.80953015873015
2020-10-22,EDN.BA,29.25,EDN,20,3.39,172.56637168141592
2020-10-23,EDN.BA,30.65,EDN,20,3.48,176.14942528735634
2020-10-26,EDN.BA,29.450001,EDN,20,3.52,167.32955113636362
2020-10-27,EDN.BA,27.65,EDN,20,3.45,160.28985507246375
2020-10-28,EDN.BA,25.700001,EDN,20,3.27,157.18655045871557
2020-10-29,EDN.BA,26.75,EDN,20,3.34,160.1796407185629
2020-10-30,EDN.BA,26.450001,EDN,20,3.32,159.33735542168674
2020-11-02,EDN.BA,27,EDN,20,3.52,153.4090909090909
2020-11-03,EDN.BA,27.25,EDN,20,3.38,161.24260355029585
2020-11-04,EDN.BA,26.6,EDN,20,3.36,158.33333333333334
2020-11-05,EDN.BA,27.450001,EDN,20,3.43,160.05831486880464
2020-11-06,EDN.BA,27.950001,EDN,20,3.58,156.14525698324022
2020-11-09,EDN.BA,27.6,EDN,20,3.63,152.06611570247935
2020-11-10,EDN.BA,28.799999,EDN,20,3.74,154.0106898395722
2020-11-11,EDN.BA,28.9,EDN,20,3.62,159.6685082872928
2020-11-12,EDN.BA,27.75,EDN,20,3.59,154.59610027855155
2020-11-13,EDN.BA,27.4,EDN,20,3.53,155.24079320113316
2020-11-16,EDN.BA,27.75,EDN,20,3.62,153.31491712707182
2020-11-17,EDN.BA,27.5,EDN,20,3.56,154.4943820224719
2020-11-18,EDN.BA,27.549999,EDN,20,3.52,156.53408522727275
2020-11-19,EDN.BA,26.700001,EDN,20,3.41,156.59824633431083
2020-11-20,EDN.BA,25.950001,EDN,20,3.31,156.79758912386706
2020-11-24,EDN.BA,26.5,EDN,20,3.35,158.2089552238806
2020-11-25,EDN.BA,26.450001,EDN,20,3.43,154.22741107871718
2020-11-27,EDN.BA,27.4,EDN,20,3.62,151.38121546961327
2020-11-30,EDN.BA,26.65,EDN,20,3.38,157.6923076923077
2020-12-01,EDN.BA,27.1,EDN,20,3.48,155.7471264367816
2020-12-02,EDN.BA,27.6,EDN,20,3.62,152.48618784530387
2020-12-03,EDN.BA,27.65,EDN,20,3.57,154.90196078431373
2020-12-04,EDN.BA,27,EDN,20,3.66,147.54098360655738
2020-12-09,EDN.BA,26.299999,EDN,20,3.58,146.92736871508382
2020-12-10,EDN.BA,26.25,EDN,20,3.59,146.23955431754877
2020-12-11,EDN.BA,26.15,EDN,20,3.58,146.08938547486034
2020-12-14,EDN.BA,25.799999,EDN,20,3.53,146.17563172804535
2020-12-15,EDN.BA,26.049999,EDN,20,3.6,144.72221666666667
2020-12-16,EDN.BA,25.9,EDN,20,3.59,144.28969359331478
2020-12-17,EDN.BA,26.200001,EDN,20,3.73,140.48257908847182
2020-12-18,EDN.BA,25.65,EDN,20,3.63,141.3223140495868
2020-12-21,EDN.BA,24.85,EDN,20,3.62,137.292817679558
2020-12-22,EDN.BA,24.9,EDN,20,3.61,137.95013850415512
2020-12-23,EDN.BA,25.75,EDN,20,3.6,143.05555555555554
2020-12-28,EDN.BA,26.049999,EDN,20,3.81,136.74540157480317
2020-12-29,EDN.BA,29.700001,EDN,20,4.24,140.0943443396226
2020-12-30,EDN.BA,28.6,EDN,20,4.14,138.16425120772948
2021-01-04,EDN.BA,28.1,EDN,20,3.88,144.84536082474227
2021-01-05,EDN.BA,27.75,EDN,20,3.6,154.16666666666666
2021-01-06,EDN.BA,27.549999,EDN,20,3.77,146.15384084880637
2021-01-07,EDN.BA,27.15,EDN,20,3.76,144.41489361702128
2021-01-08,EDN.BA,26.9,EDN,20,3.7,145.4054054054054
2021-01-11,EDN.BA,25.799999,EDN,20,3.54,145.76270621468927
2021-01-12,EDN.BA,26.1,EDN,20,3.56,146.62921348314606
2021-01-13,EDN.BA,26.5,EDN,20,3.54,149.71751412429379
2021-01-14,EDN.BA,26.700001,EDN,20,3.72,143.54839247311827
2021-01-15,EDN.BA,27.049999,EDN,20,3.64,148.62636813186813
2021-01-19,EDN.BA,27.35,EDN,20,3.68,148.6413043478261
2021-01-20,EDN.BA,27.25,EDN,20,3.66,148.9071038251366
2021-01-21,EDN.BA,25.700001,EDN,20,3.43,149.85423323615157
2021-01-22,EDN.BA,26.1,EDN,20,3.5,149.14285714285714
2021-01-25,EDN.BA,26.65,EDN,20,3.63,146.831955922865
2021-01-26,EDN.BA,27.15,EDN,20,3.65,148.76712328767124
2021-01-27,EDN.BA,27.25,EDN,20,3.63,150.13774104683196
2021-01-28,EDN.BA,26.799999,EDN,20,3.49,153.58165616045846
2021-01-29,EDN.BA,26.1,EDN,20,3.39,153.98230088495575
2021-02-01,EDN.BA,26.4,EDN,20,3.45,153.04347826086956
2021-02-02,EDN.BA,26.9,EDN,20,3.53,152.40793201133144
2021-02-03,EDN.BA,28.25,EDN,20,3.78,149.47089947089947
2021-02-04,EDN.BA,28.450001,EDN,20,3.72,152.9569946236559
2021-02-05,EDN.BA,27.450001,EDN,20,3.62,151.65746408839777
2021-02-08,EDN.BA,27.700001,EDN,20,3.62,153.03867955801104
2021-02-09,EDN.BA,28.1,EDN,20,3.68,152.7173913043478
2021-02-10,EDN.BA,28.299999,EDN,20,3.72,152.15053225806452
2021-02-11,EDN.BA,27.700001,EDN,20,3.74,148.12834759358287
2020-08-14,GGAL.BA,145.050003,GGAL,10,11.37,127.57256200527706
2020-08-18,GGAL.BA,137.300003,GGAL,10,10.66,128.79925234521576
2020-08-19,GGAL.BA,138.199997,GGAL,10,10.37,133.26904243008678
